cle_interop,voie_nom,numero,suffixe,cad_parcelles,x,y,long,lat
87085_5232_00002,allée Véronèse,2,,SP0283,1565938.67840000,5185431.21640000,1.27355720,45.85584209
87085_5232_00004,allée Véronèse,4,,SP0283,1565931.49250000,5185450.80200000,1.27345923,45.85601688
87085_5232_00006,allée Véronèse,6,,SP0283,1565925.00190000,5185468.18710000,1.27337081,45.85617200
87085_5232_00008,allée Véronèse,8,,SP0283,1565919.45730000,5185483.65870000,1.27329511,45.85631010
87085_5232_00010,allée Véronèse,10,,SP0283,1565912.79090000,5185501.67820000,1.27320426,45.85647089
87085_5232_00012,allée Véronèse,12,,SP0283,1565906.84620000,5185517.80390000,1.27312322,45.85661479
87085_5232_00014,allée Véronèse,14,,SP0283,1565899.49150000,5185537.94940000,1.27302291,45.85679458
87085_5259_00001,allée Victor Grignard,1,,NZ0026,1564849.41780000,5186185.12360000,1.25932200,45.86241062
87085_5259_00002,allée Victor Grignard,2,,NZ0024,1564841.56110000,5186186.76410000,1.25922038,45.86242384
87085_5259_00003,allée Victor Grignard,3,,NZ0025,1564846.43420000,5186168.10980000,1.25928837,45.86225699
87085_5259_00004,allée Victor Grignard,4,,NZ0023,1564837.53300000,5186161.83620000,1.25917553,45.86219880
87085_5259_00005,allée Victor Grignard,5,,NZ0028,1564875.08110000,5186156.31930000,1.25966053,45.86215656
87085_5259_00006,allée Victor Grignard,6,,NZ0022,1564830.13670000,5186143.71820000,1.25908540,45.86203437
87085_5259_00007,allée Victor Grignard,7,,NZ0029,1564880.85870000,5186151.62990000,1.25973624,45.86211551
87085_5259_00008,allée Victor Grignard,8,,NZ0021,1564818.53840000,5186128.68830000,1.25894030,45.86189688
87085_5259_00009,allée Victor Grignard,9,,NZ0009,1564880.22930000,5186145.83090000,1.25972976,45.86206322
87085_5259_00010,allée Victor Grignard,10,,NZ0020,1564808.91010000,5186111.75400000,1.25882110,45.86174266
87085_5259_00011,allée Victor Grignard,11,,NZ0010,1564874.86800000,5186137.58240000,1.25966306,45.86198797
87085_5259_00012,allée Victor Grignard,12,,NZ0019,1564803.86180000,5186099.32450000,1.25875960,45.86162985
87085_5259_00013,allée Victor Grignard,13,,NZ0010,1564869.56440000,5186130.77060000,1.25959669,45.86192565
87085_5259_00014,allée Victor Grignard,14,,NZ0018,1564784.22050000,5186081.63970000,1.25851170,45.86146690
87085_5259_00015,allée Victor Grignard,15,,NZ0011,1564860.68470000,5186128.67120000,1.25948295,45.86190502
87085_5259_00016,allée Victor Grignard,16,,NZ0017,1564781.36970000,5186070.47670000,1.25847813,45.86136593
87085_5259_00017,allée Victor Grignard,17,,NZ0012,1564839.07440000,5186140.25490000,1.25920145,45.86200497
87085_5259_00019,allée Victor Grignard,19,,NZ0013,1564823.03140000,5186103.57880000,1.25900521,45.86167189
87085_5259_00021,allée Victor Grignard,21,,NZ0014,1564825.91290000,5186094.26540000,1.25904493,45.86158868
87085_5259_00023,allée Victor Grignard,23,,NZ0015,1564817.08110000,5186088.74620000,1.25893278,45.86153730
87085_5259_00025,allée Victor Grignard,25,,NZ0016,1564795.79050000,5186084.57950000,1.25865983,45.86149563
87085_5312_00001,allée Villagory,1,,TC0277,1567027.82040000,5181042.94920000,1.28879280,45.81657829
87085_5312_00001_bis,allée Villagory,1,bis,TC0293,1567018.16310000,5181054.32630000,1.28866541,45.81667877
87085_5312_00001_ter,allée Villagory,1,ter,TC0283,1567022.66100000,5181062.26379999,1.28872108,45.81675104
87085_5312_00002,allée Villagory,2,,TC0277,1567033.76380000,5181060.51830000,1.28886440,45.81673749
87085_5312_00003,allée Villagory,3,,TC0277,1567031.90000000,5181071.25920000,1.28883746,45.81683375
87085_5312_00004,allée Villagory,4,,TC0279,1567043.27460000,5181072.98980000,1.28898331,45.81685151
87085_5312_00005,allée Villagory,5,,TC0277,1567040.11740000,5181084.00800000,1.28893965,45.81695002
87085_5312_00006,allée Villagory,6,,TC0279,1567050.95230000,5181088.73620000,1.28907773,45.81699465
87085_5312_00007,allée Villagory,7,,TC0277,1567046.61240000,5181102.76310000,1.28901802,45.81711999
87085_5312_00008,allée Villagory,8,,TC0277,1567055.97080000,5181106.70140000,1.28913733,45.81715723
87085_5312_00009,allée Villagory,9,,TC0277,1567050.67550000,5181125.03710000,1.28906414,45.81732115
87085_5312_00010,allée Villagory,10,,TC0277,1567058.20560000,5181123.86870000,1.28916134,45.81731209
87085_5312_00011,allée Villagory,11,,TC0278,1567024.24330000,5181142.23460000,1.28871933,45.81747074
